DrugID,DrugName,CID,ChEBI_ID
184,Aluminium,5359268,CHEBI:33629
185,Aluminium acetotartrate,76968033,
186,Aluminium clofibrate,10390009,
187,Aluminium glycinate,73415751,
188,Aluminium nicotinate,16098,
189,Aluminium phosphate,64655,
190,Aluminium tristearate,12496,CHEBI:37867
191,Aluminum chloride,24012,CHEBI:30114
192,Aluminum chlorohydrate,71586946,
193,Aluminum sulfate,24850,CHEBI:74768
194,Alverine,3678,CHEBI:518413
195,Alvimopan,5488548,CHEBI:135686
196,Alvocidib,5287969,CHEBI:47344
197,Amantadine,2130,CHEBI:2618
198,Ambenonium,2131,CHEBI:2627
199,Ambrisentan,6918493,CHEBI:135949
200,Ambroxol,2132,CHEBI:135590
201,Amcinonide,443958,CHEBI:31199
202,Amdinocillin,36273,CHEBI:51208
203,Amibegron,3035442,CHEBI:188723
204,Amidephrine,15010,CHEBI:134994
205,Amifampridine,5918,CHEBI:135948
206,Amifostine,2141,CHEBI:2636
207,Amikacin,37768,CHEBI:2637
208,Amiloride,16231,CHEBI:2639
209,Amineptine,34870,CHEBI:32499
210,Aminoglutethimide,2145,CHEBI:2654
211,Aminohippuric acid,2148,CHEBI:104011
212,Aminolevulinic acid,137,CHEBI:17549
213,Aminomethylbenzoic acid,65526,CHEBI:134774
214,Aminophenazone,6009,CHEBI:160246
215,Aminophylline,9433,CHEBI:2659
216,Aminopterin,169371,CHEBI:22526
217,Aminosalicylic acid,4649,CHEBI:27565
218,Amiodarone,2157,CHEBI:2663
219,Amisulpride,2159,CHEBI:64045
220,Amithiozone,9568512,CHEBI:134958
221,Amitraz,36324,CHEBI:2665
222,Amitriptyline,2160,CHEBI:2666
223,Amitriptylinoxide,20313,CHEBI:135224
224,Amlodipine,2162,CHEBI:2668
225,Ammonia N-13,119432,CHEBI:135980
226,Ammonium bicarbonate,14013,CHEBI:184335
227,Ammonium lactate,62358,
228,Ammonium tetrathiomolybdate,15251598,
229,Amobarbital,2164,CHEBI:2673
230,Amodiaquine,2165,CHEBI:2674
231,Amonafide,50515,CHEBI:94661
232,Amoxapine,2170,CHEBI:2675
233,Amoxicillin,33613,CHEBI:2676
234,Amperozide,73333,
235,Amphetamine,3007,CHEBI:132233
236,Amphotericin B,5280965,CHEBI:2682
237,Ampicillin,6249,CHEBI:28971
238,Amprenavir,65016,CHEBI:40050
239,Amrinone,3698,CHEBI:2686
240,Amrubicin,3035016,CHEBI:135779
241,Amsacrine,2179,CHEBI:2687
242,Amyl Nitrite,8053,CHEBI:2691
243,Anagliptin,44513473,CHEBI:136043
244,Anagrelide,135409400,CHEBI:142290
245,Anastrozole,2187,CHEBI:2704
246,Andrographolide,5318517,CHEBI:65408
247,Androstenediol,10634,CHEBI:2710
248,Androstenedione,6128,CHEBI:16422
249,Anecortave,7074810,CHEBI:177649
250,Angiotensin 1-7,123805,CHEBI:55438
251,Anileridine,8944,CHEBI:61203
252,Aniline,6115,CHEBI:17296
253,Aniracetam,2196,CHEBI:47943
254,Anisodamine,6918612,
255,Anisotropine methylbromide,657201,
256,Annamycin,115212,
257,Antazoline,2200,CHEBI:84115
258,Antipyrine,2206,CHEBI:31225
259,Antrafenine,68723,CHEBI:135841
260,Apalutamide,24872560,
261,Apaziquone,5813717,CHEBI:177558
262,Apixaban,10182969,CHEBI:72296
263,Apomorphine,6005,CHEBI:48538
264,Apraclonidine,2216,CHEBI:2788
265,Apramycin,3081545,CHEBI:2790
266,Apremilast,11561674,CHEBI:78540
267,Aprepitant,135413536,CHEBI:499361
268,Aprindine,2218,CHEBI:135370
269,Aprobarbital,6464,CHEBI:2791
270,Aprocitentan,25099191,CHEBI:76609
271,Apronalide,10715,CHEBI:134827
272,Arachidonic Acid,444899,CHEBI:15843
273,Aramchol,18738120,
274,Aranidipine,2225,CHEBI:31232
275,Arbaclofen,44602,CHEBI:190735
276,Arbaclofen Placarbil,11281011,
