DrugID,DrugName,SideEffect
2686.0,Simvastatin,C2981158
2686.0,Simvastatin,C3267047
1979.0,Moexiprilat,C0000737
1979.0,Moexiprilat,C0687713
1979.0,Moexiprilat,C0001824
1979.0,Moexiprilat,C0002170
1979.0,Moexiprilat,C0002878
1979.0,Moexiprilat,C0002962
1979.0,Moexiprilat,C0002994
1979.0,Moexiprilat,C0003467
1979.0,Moexiprilat,C0003862
1979.0,Moexiprilat,C0948594
1979.0,Moexiprilat,C0006266
1979.0,Moexiprilat,C0008031
1979.0,Moexiprilat,C0009806
1979.0,Moexiprilat,C0010200
1979.0,Moexiprilat,C0011991
1979.0,Moexiprilat,C0012833
1979.0,Moexiprilat,C0013144
1979.0,Moexiprilat,C2830004
1979.0,Moexiprilat,C0013395
1979.0,Moexiprilat,C0013404
1979.0,Moexiprilat,C0015230
1979.0,Moexiprilat,C0011603
1979.0,Moexiprilat,C0015672
1979.0,Moexiprilat,C0004093
1979.0,Moexiprilat,C0016382
1979.0,Moexiprilat,C0018681
1979.0,Moexiprilat,C0019158
1979.0,Moexiprilat,C0020461
1979.0,Moexiprilat,C0020517
1979.0,Moexiprilat,C0020625
1979.0,Moexiprilat,C0020649
1979.0,Moexiprilat,C0020651
1979.0,Moexiprilat,C0021400
1979.0,Moexiprilat,C0027051
1979.0,Moexiprilat,C0948089
1979.0,Moexiprilat,C0027497
1979.0,Moexiprilat,C0027769
1979.0,Moexiprilat,C0233494
1979.0,Moexiprilat,C0027947
1979.0,Moexiprilat,C0028961
1979.0,Moexiprilat,C0030193
1979.0,Moexiprilat,C0030252
1979.0,Moexiprilat,C0030305
1979.0,Moexiprilat,C0030807
1979.0,Moexiprilat,C0031350
1979.0,Moexiprilat,C0033774
1979.0,Moexiprilat,C0034068
1979.0,Moexiprilat,C0035455
1979.0,Moexiprilat,C0037199
1979.0,Moexiprilat,C0037317
1979.0,Moexiprilat,C0851578
1979.0,Moexiprilat,C0038454
1979.0,Moexiprilat,C0038990
1979.0,Moexiprilat,C0020458
1979.0,Moexiprilat,C0039070
1979.0,Moexiprilat,C0041657
1979.0,Moexiprilat,C0036974
1979.0,Moexiprilat,C0040264
1979.0,Moexiprilat,C0041912
1979.0,Moexiprilat,C0042023
1979.0,Moexiprilat,C0042109
1979.0,Moexiprilat,C0042963
1979.0,Moexiprilat,C0043352
1979.0,Moexiprilat,C0085633
1979.0,Moexiprilat,C0233472
1979.0,Moexiprilat,C0085649
1979.0,Moexiprilat,C0151539
1979.0,Moexiprilat,C0231218
1979.0,Moexiprilat,C0234215
1979.0,Moexiprilat,C1443060
1979.0,Moexiprilat,C2047937
1979.0,Moexiprilat,C0231528
1979.0,Moexiprilat,C0340865
1979.0,Moexiprilat,C0002792
1979.0,Moexiprilat,C0349506
1979.0,Moexiprilat,C0162830
1979.0,Moexiprilat,C0574067
1979.0,Moexiprilat,C0700225
1979.0,Moexiprilat,C0235431
1979.0,Moexiprilat,C0863113
1979.0,Moexiprilat,C1565489
1979.0,Moexiprilat,C0035078
2534.0,Ranolazine,C0000737
2534.0,Ranolazine,C0687713
2534.0,Ranolazine,C0002622
2534.0,Ranolazine,C0002994
2534.0,Ranolazine,C0003123
2534.0,Ranolazine,C0232462
2534.0,Ranolazine,C0003467
2534.0,Ranolazine,C0004093
2534.0,Ranolazine,C0004936
2534.0,Ranolazine,C0006145
2534.0,Ranolazine,C0009676
2534.0,Ranolazine,C1443060
2534.0,Ranolazine,C0009782
2534.0,Ranolazine,C0009806
2534.0,Ranolazine,C0010200
2534.0,Ranolazine,C0011175
2534.0,Ranolazine,C0011615
2534.0,Ranolazine,C0012569
2534.0,Ranolazine,C0012833
2534.0,Ranolazine,C0013395
2534.0,Ranolazine,C0013404
2534.0,Ranolazine,C0013428
2534.0,Ranolazine,C0014457
2534.0,Ranolazine,C0014591
2534.0,Ranolazine,C0015230
2534.0,Ranolazine,C0011603
2534.0,Ranolazine,C0015397
2534.0,Ranolazine,C0015672
2534.0,Ranolazine,C0016204
2534.0,Ranolazine,C0017178
2534.0,Ranolazine,C0018524
2534.0,Ranolazine,C0018681
2534.0,Ranolazine,C0018772
2534.0,Ranolazine,C1384666
2534.0,Ranolazine,C0018799
2534.0,Ranolazine,C0018965
2534.0,Ranolazine,C0020458
2534.0,Ranolazine,C0020580
2534.0,Ranolazine,C0020649
2534.0,Ranolazine,C0020651
2534.0,Ranolazine,C0022660
2534.0,Ranolazine,C0023380
