DrugID,DrugName
41,2-Fluoroadenosine
42,2-Methoxyestradiol
43,2-Methoxyethanol
44,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide
45,2-chloroethyl-3-sarcosinamide-1-nitrosourea
46,25-desacetylrifapentine
47,"3,4-Dihydroxybenzoic Acid"
48,"3,5-Diiodotyrosine"
49,"3,5-Dinitrocatechol"
50,"3,5-diiodothyropropionic acid"
51,3-isobutyl-1-methyl-7H-xanthine
52,"4-Bromo-2,5-dimethoxyamphetamine"
53,"4-Bromo-2,5-dimethoxyphenethylamine"
54,4-Hydroxytestosterone
55,4-Methoxyamphetamine
56,4-Oxoretinol
57,4-hydroxycoumarin
58,5-(2-methylpiperazine-1-sulfonyl)isoquinoline
59,5-androstenedione
60,5-fluorouridine
61,"5-methoxy-N,N-dimethyltryptamine"
62,5-methyltetrahydrofolic acid
63,5beta-dihydrotestosterone
64,"6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE"
65,6-Deoxyerythronolide B
66,6-O-benzylguanine
67,"6S-5,6,7,8-Tetrahydrobiopterin"
68,"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline"
69,"7,9-Dimethylguanine"
70,7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid
71,7-(2-Amino-2-Phenyl-Acetylamino)-3-Chloro-8-Oxo-1-Aza-Bicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid
72,7-Deazaguanine
73,7-Hydroxystaurosporine
74,7-Nitroindazole
75,8-azaguanine
76,8-chlorotheophylline
77,9-(N-methyl-L-isoleucine)-cyclosporin A
78,9-Beta-D-Xylofuranosyl-Adenine
79,9-Deazaguanine
80,9-Methylguanine
81,9-aminocamptothecin
82,AICA ribonucleotide
83,ALT-2074
84,AMG-222
85,AS-8112
86,AZD-3043
87,AZD-5991
88,Abacavir
89,Abafungin
90,Abametapir
91,Abediterol
92,Abemaciclib
93,Abexinostat
94,Abiraterone
95,Abrocitinib
96,Acalabrutinib
97,Acamprosate
98,Acarbose
99,Acebutolol
100,Aceclofenac
101,Acefylline
102,Acemetacin
103,Acenocoumarol
104,Acepromazine
105,Aceprometazine
106,Acetaminophen
107,Acetate
108,Acetazolamide
109,Acetoacetic acid
110,Acetohexamide
111,Acetophenazine
112,Acetyl sulfisoxazole
113,Acetylamino-Acetic Acid
114,Acetylcholine
115,Acetylcysteine
116,Acetyldigitoxin
117,Acetyldigoxin
118,Acetylleucine
119,Acetylsalicylic acid
120,Acipimox
121,Acitretin
122,Aclarubicin
123,Aclidinium
124,Acotiamide
125,Acrivastine
126,Acteoside
127,Acyclovir
128,Adagrasib
129,Adefovir
130,Adefovir dipivoxil
131,Ademetionine
132,Adenine
133,Adinazolam
134,Adipiplon
135,Adrafinil
136,Afatinib
137,Afimoxifene
138,Agmatine
139,Agomelatine
140,Ajmaline
141,Alanosine
142,Alaproclate
143,Albaconazole
144,Albendazole
145,Albuterol
146,Alcaftadine
147,Alclofenac
148,Alclometasone
149,Alcloxa
150,Alcuronium
151,Aldosterone
152,Aldoxorubicin
153,Alectinib
154,Alendronic acid
155,Alexitol sodium
156,Alfacalcidol
157,Alfaxalone
158,Alfentanil
159,Alfuzosin
160,Algestone
161,Algestone acetophenide
162,Alimemazine
163,Aliskiren
164,Alitretinoin
165,Allicin
166,Allobarbital
167,Alloin
168,Allopurinol
169,Allylestrenol
170,Almasilate
171,Alminoprofen
172,Almotriptan
173,Alogliptin
174,Aloglutamol
175,Alosetron
176,Alpelisib
177,Alphacetylmethadol
178,Alphaprodine
179,Alprazolam
180,Alprenolol
181,Alprostadil
182,Altrenogest
183,Altretamine
184,Aluminium
185,Aluminium acetotartrate
186,Aluminium clofibrate
187,Aluminium glycinate
188,Aluminium nicotinate
189,Aluminium phosphate
190,Aluminium tristearate
191,Aluminum chloride
192,Aluminum chlorohydrate
193,Aluminum sulfate
194,Alverine
195,Alvimopan
196,Alvocidib
197,Amantadine
198,Ambenonium
199,Ambrisentan
200,Ambroxol
201,Amcinonide
202,Amdinocillin
203,Amibegron
204,Amidephrine
205,Amifampridine
206,Amifostine
207,Amikacin
208,Amiloride
209,Amineptine
210,Aminoglutethimide
211,Aminohippuric acid
212,Aminolevulinic acid
213,Aminomethylbenzoic acid
214,Aminophenazone
215,Aminophylline
216,Aminopterin
217,Aminosalicylic acid
218,Amiodarone
219,Amisulpride
220,Amithiozone
221,Amitraz
222,Amitriptyline
223,Amitriptylinoxide
224,Amlodipine
225,Ammonia N-13
226,Ammonium bicarbonate
227,Ammonium lactate
228,Ammonium tetrathiomolybdate
229,Amobarbital
230,Amodiaquine
231,Amonafide
232,Amoxapine
233,Amoxicillin
234,Amperozide
235,Amphetamine
236,Amphotericin B
237,Ampicillin
238,Amprenavir
239,Amrinone
240,Amrubicin
