DrugID,DrugName,gene_name,gene_concept_id,interaction_types,interaction_source_db_name,interaction_score,evidence_score
2244.0,Pazopanib,ALK,hgnc:427,,DTC,0.0241845824672324,3.0
797.0,Crizotinib,ALK,hgnc:427,,DTC,2.164681361367084,137.0
839.0,Dactolisib,ALK,hgnc:427,,DTC,0.0089776101582908,1.0
1038.0,Dovitinib,ALK,hgnc:427,,DTC,0.0043408224941186,1.0
598.0,Cediranib,ALK,hgnc:427,,DTC,0.0080615274890774,1.0
1156.0,Erlotinib,ALK,hgnc:427,,DTC,0.0138601700689402,2.0
1126.0,Entrectinib,ALK,hgnc:427,,DTC,0.0831610204136413,12.0
1512.0,Hydralazine,AOC3,hgnc:550,,TdgClinicalTrial,0.6534813517689226,2.0
1420.0,Gefitinib,USP36,hgnc:20062,,PharmGKB,0.7671302825113439,2.0
1156.0,Erlotinib,USP36,hgnc:20062,,PharmGKB,0.9286313946189952,2.0
470.0,Brilaroxazine,HTR7,hgnc:5302,,TTD,0.1374856869955395,1.0
324.0,Avatrombopag,MPL,hgnc:7217,agonist,ChEMBL,1.526884312306232,3.0
1780.0,Lusutrombopag,MPL,hgnc:7217,agonist,ChEMBL,2.714460999655525,4.0
1570.0,Ilorasertib,IGF1R,hgnc:5465,,DTC,0.0073060026905842,1.0
655.0,Ceritinib,IGF1R,hgnc:5465,,DTC,0.1770300651949255,3.0
2244.0,Pazopanib,IGF1R,hgnc:5465,,DTC,0.0156557200512519,1.0
1126.0,Entrectinib,IGF1R,hgnc:5465,,DTC,0.0134584260089709,1.0
2414.0,Pramlintide,CALCR,hgnc:1440,agonist,GuideToPharmacology,1.017922874870821,3.0
2215.0,Paclitaxel,ETS2,hgnc:3489,,PharmGKB,0.226205083304627,2.0
1422.0,Gemcitabine,ETS2,hgnc:3489,,PharmGKB,0.3267406758844613,2.0
1643.0,Istradefylline,ADORA2B,hgnc:264,inhibitor,GuideToPharmacology,0.1422902943367815,1.0
529.0,Caffeine,ADORA2B,hgnc:264,inhibitor,GuideToPharmacology,0.0334800692557133,2.0
2609.0,Rolofylline,ADORA2B,hgnc:264,inhibitor,GuideToPharmacology,0.1422902943367815,1.0
2271.0,Pentoxifylline,ADORA2B,hgnc:264,inhibitor,GuideToPharmacology,0.0334800692557133,2.0
839.0,Dactolisib,CRTC2,hgnc:27301,inhibitor,ClearityFoundationClinicalTrial,0.3007499403027427,1.0
2937.0,Tivozanib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.5881332165920303,7.0
1353.0,Foretinib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.1008228371300623,3.0
2859.0,Tesevatinib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.2160489367072764,3.0
3079.0,Vatalanib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.2160489367072764,6.0
328.0,Axitinib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.1512342556950935,6.0
2539.0,Regorafenib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.0611047497757953,4.0
2244.0,Pazopanib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.1131684906561924,11.0
1997.0,Motesanib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.3150713660314448,5.0
2087.0,Nintedanib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.1482688781324446,5.0
1698.0,Lenvatinib,FLT4,hgnc:3767,inhibitor,MyCancerGenome,0.1260285464125779,4.0
2593.0,Ritonavir,TAS2R8,hgnc:14915,agonist,GuideToPharmacology,0.2800634364723954,1.0
664.0,Chloramphenicol,TAS2R8,hgnc:14915,agonist,GuideToPharmacology,1.080244683536382,1.0
246.0,Andrographolide,TAS2R8,hgnc:14915,agonist,GuideToPharmacology,2.520570928251559,1.0
2434.0,Pregabalin,CACNG6,hgnc:13625,modulator,ChEMBL,0.2028045574455277,1.0
1395.0,Gabapentin,CACNG6,hgnc:13625,modulator,ChEMBL,0.1837916301850094,1.0
1396.0,Gabapentin enacarbil,CACNG6,hgnc:13625,modulator,ChEMBL,0.2178271172563075,1.0
1571.0,Imagabalin,CACNG6,hgnc:13625,modulator,ChEMBL,0.226205083304627,1.0
798.0,Curcumin,PTGS1,hgnc:9604,,DTC,0.0196044405530676,2.0
106.0,Acetaminophen,PTGS1,hgnc:9604,,DTC,0.0635183873919392,6.0
1594.0,Indomethacin,PTGS1,hgnc:9604,,DTC,0.0882199824888045,7.0
2968.0,Trametinib,ETV1,hgnc:3490,,CIViC,2.301390847534031,2.0
1046.0,Doxorubicin,CASP3,hgnc:1504,,PharmGKB,0.0141718847371573,2.0
647.0,Celecoxib,CASP3,hgnc:1504,,PharmGKB,0.0361928133287403,2.0
163.0,Aliskiren,REN,hgnc:9958,,TdgClinicalTrial,9.623998089687769,4.0
2546.0,Remikiren,REN,hgnc:9958,,TdgClinicalTrial,14.43599713453165,3.0
1652.0,KOS-1584,TUBB3,hgnc:20772,modulator,ChEMBL,0.034596071564237,1.0
2694.0,Soblidotin,TUBB3,hgnc:20772,inhibitor,ChEMBL,0.034596071564237,1.0
2634.0,Sagopilone,TUBB3,hgnc:20772,modulator,ChEMBL,0.034596071564237,1.0
1648.0,Ixabepilone,TUBB3,hgnc:20772,inhibitor,ChEMBL,0.0494229593774815,2.0
3102.0,Vinflunine,TUBB3,hgnc:20772,inhibitor,ChEMBL,0.034596071564237,1.0
2243.0,Patupilone,TUBB3,hgnc:20772,modulator,ChEMBL,0.034596071564237,1.0
782.0,Colchicine,TUBB3,hgnc:20772,inhibitor,ChEMBL,0.0915778364935687,9.0
2215.0,Paclitaxel,TUBB3,hgnc:20772,inhibitor,ChEMBL,0.066530906854302,15.0
523.0,Cabazitaxel,TUBB3,hgnc:20772,inhibitor,ChEMBL,0.0247114796887407,1.0
1144.0,Epothilone D,TUBB3,hgnc:20772,modulator,ChEMBL,0.0324338170914722,1.0
1021.0,Docetaxel,TUBB3,hgnc:20772,inhibitor,ChEMBL,0.034596071564237,1.0
864.0,Daunorubicin,GSTM3,hgnc:4635,,PharmGKB,0.3007499403027427,2.0
2138.0,Olanzapine,GSTM3,hgnc:4635,,PharmGKB,0.3892058050976671,2.0
1046.0,Doxorubicin,GSTM3,hgnc:4635,,PharmGKB,0.1594337032930202,2.0
2787.0,Tacrolimus,GSTM3,hgnc:4635,,PharmGKB,0.8537417660206892,2.0
376.0,Bendamustine,CD69,hgnc:1694,,CGI,5.881332165920304,1.0
2579.0,Riluzole,KCNN3,hgnc:6292,activator,GuideToPharmacology,0.1211258340807385,1.0
892.0,Dequalinium,KCNN3,hgnc:6292,blocker,GuideToPharmacology,0.4643156973094977,2.0
2876.0,Tetrandrine,KCNN3,hgnc:6292,blocker,GuideToPharmacology,0.3979848834081408,1.0
3024.0,Tropicamide,KCNN3,hgnc:6292,blocker,GuideToPharmacology,0.3095437982063317,1.0
1002.0,Dinoprostone,SLCO3A1,hgnc:10952,,GuideToPharmacology,1.17626643318406,1.0
485.0,Broxuridine,TSPYL2,hgnc:24358,,NCI,2.205499562220113,2.0
2252.0,Pemigatinib,FGFR2,hgnc:3689,,TTD,3.223422437090935,19.0
567.0,Carbetocin,OXTR,hgnc:8529,,TEND,2.242880910732319,5.0
2593.0,Ritonavir,APOC1,hgnc:607,,PharmGKB,3.920888110613535,2.0
647.0,Celecoxib,CACNA1F,hgnc:1393,,PharmGKB,0.0378761999951933,2.0
1002.0,Dinoprostone,PTGER4,hgnc:9596,agonist,ChEMBL,0.3920888110613535,6.0
