DrugName,DrugA_Count,DrugB_Count,Total_DDI_Records,In_Master_Dataset
calcium levulinate,11,2,13,True
calcium pangamate,0,12,12,True
calyculin a,1,0,1,True
camazepam,8,20,28,True
camptothecin,0,9,9,True
camylofin,6,9,15,True
canagliflozin,8,48,56,True
candesartan,27,20,47,True
candesartan cilexetil,39,7,46,True
candicidin,7,5,12,True
candoxatril,0,26,26,True
canertinib,0,1,1,True
cangrelor,11,17,28,True
cannabidiol,24,40,64,True
cannabidivarin,13,28,41,True
cannabinol,10,34,44,True
canrenoic acid,9,18,27,True
canrenone,7,33,40,True
capecitabine,35,14,49,True
capivasertib,11,8,19,True
capmatinib,12,11,23,True
capravirine,0,8,8,True
capreomycin,26,9,35,True
caprylic acid,0,3,3,True
capsaicin,2,66,68,True
captodiame,22,8,30,True
captopril,25,9,34,True
carbamazepine,78,10,88,True
carbamoylcholine,1,6,7,True
carbenicillin,9,2,11,True
carbetocin,7,4,11,True
carbidopa,10,35,45,True
carbimazole,11,3,14,True
carbinoxamine,21,25,46,True
carbocisteine,1,0,1,True
carbomycin,11,1,12,True
carboprost,1,0,1,True
carboquone,0,1,1,True
carboxyamidotriazole,3,26,29,True
carbromal,21,16,37,True
carbutamide,14,38,52,True
carfecillin,2,11,13,True
carfentanil,2,25,27,True
carfilzomib,27,1,28,True
carindacillin,7,5,12,True
cariporide,16,6,22,True
cariprazine,38,25,63,True
carisbamate,16,16,32,True
carisoprodol,25,13,38,True
carmegliptin,21,7,28,True
carmofur,1,0,1,True
carmustine,45,4,49,True
caroverine,12,13,25,True
caroxazone,34,25,59,True
carprofen,19,36,55,True
carteolol,10,7,17,True
carvedilol,26,30,56,True
caspofungin,5,2,7,True
castanospermine,5,1,6,True
cathine,38,3,41,True
cathinone,12,17,29,True
cediranib,1,2,3,True
cefacetrile,8,30,38,True
cefaclor,17,34,51,True
cefadroxil,26,4,30,True
cefaloridine,25,3,28,True
cefalotin,4,27,31,True
cefamandole,14,13,27,True
cefamandole nafate,1,3,4,True
cefapirin,12,25,37,True
cefatrizine,6,17,23,True
cefazedone,4,26,30,True
cefazolin,15,24,39,True
cefbuperazone,15,31,46,True
cefcapene,28,13,41,True
cefdinir,19,30,49,True
cefditoren,22,14,36,True
cefepime,19,9,28,True
cefetamet,17,16,33,True
cefixime,1,1,2,True
cefmenoxime,28,7,35,True
cefmetazole,10,29,39,True
cefminox,20,10,30,True
cefodizime,3,31,34,True
cefonicid,27,3,30,True
cefoperazone,28,6,34,True
ceforanide,8,22,30,True
cefotaxime,25,10,35,True
cefotetan,9,26,35,True
cefotiam,8,15,23,True
cefoxitin,5,26,31,True
cefozopran,12,23,35,True
cefpiramide,18,22,40,True
cefpirome,37,4,41,True
cefpodoxime,0,21,21,True
cefprozil,3,25,28,True
cefradine,16,23,39,True
cefroxadine,11,20,31,True
cefsulodin,8,23,31,True
ceftaroline fosamil,4,25,29,True
ceftazidime,18,24,42,True
ceftezole,24,7,31,True
ceftibuten,9,28,37,True
ceftiofur,0,2,2,True
ceftizoxime,17,24,41,True
ceftobiprole,5,23,28,True
ceftobiprole medocaril,5,2,7,True
ceftolozane,25,15,40,True
ceftriaxone,6,34,40,True
cefuroxime,19,7,26,True
celecoxib,22,57,79,True
celiprolol,37,23,60,True
cenobamate,39,15,54,True
cephalexin,0,62,62,True
cephaloglycin,28,7,35,True
cephalosporin analog,0,2,2,True
cephalosporin c,3,0,3,True
cephalothin group,9,24,33,True
ceritinib,16,31,47,True
cerium oxalate,2,0,2,True
cerivastatin,11,29,40,True
cerlapirdine,17,20,37,True
cethromycin,20,17,37,True
cetirizine,7,58,65,True
cevimeline,6,31,37,True
chloral hydrate,20,42,62,True
chlorambucil,14,9,23,True
chloramphenicol,4,25,29,True
chloramphenicol succinate,2,2,4,True
chlorcyclizine,2,14,16,True
chlordiazepoxide,32,1,33,True
chlorhexadol,10,21,31,True
chloride ion,9,33,42,True
chlormadinone,3,25,28,True
