DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
1405,Gadoxetic acid,25203894.0,[H+].[H+].CCOC1=CC=C(C=C1)CC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Gd+3],681.7,,220.0,2.0,14.0,15.0,PubChem,Available
1408,Gallamine triethiodide,6172.0,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC.[I-].[I-].[I-],891.5,,27.7,0.0,6.0,21.0,PubChem,Available
1445,Gleptoferron,,,,,,,,,,Unresolved
1509,Homatropine methylbromide,6646.0,C[N+]1(C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O)C.[Br-],370.3,,46.5,1.0,4.0,4.0,PubChem,Available
1528,Hydrolyzed Cephalothin,,,,,,,,,,Unresolved
1531,Hydroxocobalamin,44475014.0,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[OH-].[Co+3],1346.4,,453.0,10.0,20.0,26.0,PubChem,Available
1576,Imidazole salicylate,37425.0,C1=CC=C(C(=C1)C(=O)O)O.C1=CN=CN1,206.2,,86.2,3.0,4.0,1.0,PubChem,Available
1590,Indium In-111 oxyquinoline,119117.0,C1=CC2=C(C(=C1)[O-])N=CC=C2.C1=CC2=C(C(=C1)[O-])N=CC=C2.C1=CC2=C(C(=C1)[O-])N=CC=C2.[In+3],543.4,,108.0,0.0,6.0,0.0,PubChem,Available
1592,Indocyanine green,5282412.0,CC1(C(=[N+](C2=C1C3=CC=CC=C3C=C2)CCCCS(=O)(=O)[O-])C=CC=CC=CC=C4C(C5=C(N4CCCCS(=O)(=O)[O-])C=CC6=CC=CC=C65)(C)C)C.[Na+],775.0,,137.0,0.0,7.0,12.0,PubChem,Available
1620,Iron,23925.0,[Fe],55.84,,0.0,0.0,0.0,0.0,PubChem,Available
1621,Iron polymaltose,,,,,,,,,,Unresolved
1622,Iron sucrose,,,,,,,,,,Unresolved
1638,Isosulfan blue,50108.0,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=C(C=CC(=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],566.7,,137.0,0.0,7.0,7.0,PubChem,Available
1646,Ivermectin,,,,,,,,,,Unresolved
1649,Ixazomib,25183872.0,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,361.0,,98.7,4.0,4.0,7.0,PubChem,Available
1656,Kaolin,,,,,,,,,,Unresolved
1664,Kitasamycin,,,,,,,,,,Unresolved
1681,Lanthanum III cation,104897.0,[La+3],138.9055,,0.0,0.0,0.0,0.0,PubChem,Available
1735,Lithium cation,28486.0,[Li+],7.0,,0.0,0.0,0.0,0.0,PubChem,Available
1791,Maduramicin,68595.0,CC1CC(C(OC1C2CC(C(O2)C3(CCC(O3)C4(CCC5(O4)CC(C(C(O5)C(C)C6C(C(C(C(O6)(CC(=O)O)O)C)OC)OC)C)O)C)C)OC7CC(C(C(O7)C)OC)OC)(C)O)C.N,934.2,,210.0,5.0,18.0,13.0,PubChem,Available
1793,Magnesium,5462224.0,[Mg],24.305,,0.0,0.0,0.0,0.0,PubChem,Available
1794,Magnesium cation,888.0,[Mg+2],24.305,,0.0,0.0,0.0,0.0,PubChem,Available
