Ligand ID,Ligand,Target,Target ID,Target Gene Symbol,Target UniProt ID,Target Ensembl Gene ID,Target Species,Approved,Type,Action,Primary Target,Affinity Median,Affinity Units,PubMed ID
1013,17&beta;-estradiol,Proton-coupled Amino acid Transporter 1,1161,SLC36A1,Q7Z2H8,ENSG00000123643,Human,True,Inhibitor,Inhibition,False,,pIC50,32835702
4671,5-hydroxy-L-tryptophan,Proton-coupled Amino acid Transporter 1,1161,SLC36A1,Q7Z2H8,ENSG00000123643,Human,False,Inhibitor,Inhibition,False,3.0,pKi,16126914
5,5-hydroxytryptamine,Proton-coupled Amino acid Transporter 1,1161,SLC36A1,Q7Z2H8,ENSG00000123643,Human,False,Inhibitor,Inhibition,False,2.2,pKi,16126914
2714,diclofenac,Proton-coupled Amino acid Transporter 1,1161,SLC36A1,Q7Z2H8,ENSG00000123643,Human,True,Inhibitor,Inhibition,False,3.569999933242798,pIC50,39861697
7071,ethinylestradiol,Proton-coupled Amino acid Transporter 1,1161,SLC36A1,Q7Z2H8,ENSG00000123643,Human,True,Inhibitor,Inhibition,False,,pIC50,32835702
4194,flurbiprofen,Proton-coupled Amino acid Transporter 1,1161,SLC36A1,Q7Z2H8,ENSG00000123643,Human,True,Inhibitor,Inhibition,False,3.549999952316284,pIC50,39861697
2713,ibuprofen,Proton-coupled Amino acid Transporter 1,1161,SLC36A1,Q7Z2H8,ENSG00000123643,Human,True,Inhibitor,Inhibition,False,3.0199999809265137,pIC50,39861697
4709,indole-3-propionic acid,Proton-coupled Amino acid Transporter 1,1161,SLC36A1,Q7Z2H8,ENSG00000123643,Human,False,Inhibitor,Inhibition,False,2.3,pKi,16126914
717,L-tryptophan,Proton-coupled Amino acid Transporter 1,1161,SLC36A1,Q7Z2H8,ENSG00000123643,Human,False,Inhibitor,Inhibition,False,2.3,pKi,16126914
4671,5-hydroxy-L-tryptophan,Proton-coupled Amino acid Transporter 2,1162,SLC36A2,Q495M3,ENSG00000186335,Human,False,Inhibitor,Inhibition,False,2.8,pIC50,20691150
4693,"&alpha;-methyl-D,L-tryptophan",Proton-coupled Amino acid Transporter 2,1162,SLC36A2,Q495M3,ENSG00000186335,Human,False,Inhibitor,Inhibition,False,2.5,pIC50,20691150
1909,indomethacin,Proton-coupled folate transporter,1213,SLC46A1,Q96NT5,ENSG00000076351,Human,True,Inhibitor,Inhibition,False,3.7,pIC50,17129779
4840,sulfasalazine,Proton-coupled folate transporter,1213,SLC46A1,Q96NT5,ENSG00000076351,Human,True,Inhibitor,Inhibition,False,4.2,pIC50,17129779
6690,[<sup>3</sup>H]folinic acid,Proton-coupled folate transporter,1213,SLC46A1,Q96NT5,ENSG00000076351,Human,False,,Binding,False,,-,
6689,[<sup>3</sup>H]N<sup>5</sup>-methylfolate,Proton-coupled folate transporter,1213,SLC46A1,Q96NT5,ENSG00000076351,Human,False,,Binding,False,,-,
6688,[<sup>3</sup>H]pemetrexed,Proton-coupled folate transporter,1213,SLC46A1,Q96NT5,ENSG00000076351,Human,False,,Binding,False,,-,
4562,[<sup>3</sup>H]folic acid,Proton-coupled folate transporter,1213,SLC46A1,Q96NT5,ENSG00000076351,Human,False,,,False,,-,
4674,[<sup>3</sup>H]methotrexate,Proton-coupled folate transporter,1213,SLC46A1,Q96NT5,ENSG00000076351,Human,False,,,False,,-,
8890,compound 9 [PMID: 15615544],Reduced folate transporter 1,1014,SLC19A1,P41440,ENSG00000173638,Human,False,Inhibitor,Inhibition,False,6.550000190734863,pKi,15615544
4815,methotrexate,Reduced folate transporter 1,1014,SLC19A1,P41440,ENSG00000173638,Human,True,Inhibitor,Inhibition,False,5.329999923706055,pKi,15615544
4562,[<sup>3</sup>H]folic acid,Reduced folate transporter 1,1014,SLC19A1,P41440,ENSG00000173638,Human,False,,,False,,-,9525913
4674,[<sup>3</sup>H]methotrexate,Reduced folate transporter 1,1014,SLC19A1,P41440,ENSG00000173638,Human,False,,,False,,-,9525913
12968,CDN1163,SERCA1,840,,,,Rabbit,False,Allosteric modulator,Activation,False,5.21999979019165,pEC50,34297466
8822,TGN4,SERCA1,840,ATP2A1,O14983,ENSG00000196296,Human,False,Allosteric modulator,Negative,False,8.920000076293945,pIC50,15828839
200,amitriptyline,SERT,928,SLC6A4,P31645,ENSG00000108576,Human,True,Inhibitor,Inhibition,True,6.849999904632568,pKi,23602445
201,amoxapine,SERT,928,SLC6A4,P31645,ENSG00000108576,Human,True,Inhibitor,Inhibition,True,7.739999771118164,pKi,
7118,atomoxetine,SERT,928,SLC6A4,P31645,ENSG00000108576,Human,True,Inhibitor,Inhibition,False,8.050000190734863,pKd,9871604
7547,citalopram,SERT,928,SLC6A4,P31645,ENSG00000108576,Human,True,Inhibitor,Inhibition,True,8.359999656677246,pKi,18487050
2398,clomipramine,SERT,928,SLC6A4,P31645,ENSG00000108576,Human,True,Inhibitor,Inhibition,True,9.550000190734863,pKd,9537821
2398,clomipramine,SERT,928,SLC6A4,P31645,ENSG00000108576,Human,True,Inhibitor,Inhibition,True,9.68000030517578,pKi,9537821
7901,dapoxetine,SERT,928,SLC6A4,P31645,ENSG00000108576,Human,True,Inhibitor,Inhibition,True,8.949999809265137,pIC50,
2399,desipramine,SERT,928,SLC6A4,P31645,ENSG00000108576,Human,True,Inhibitor,Inhibition,True,6.789999961853027,pKi,9400006
