InChIKey14,DrugName,DrugID,Source,DrugName_Normalized
GDLIGKIOYRNHDA,Clomipramine,753,Drug_A,clomipramine
GJGDLRSSCNAKGL,Clomocycline,754,Drug_A,clomocycline
DGBIGWXXNGSACT,Clonazepam,755,Drug_A,clonazepam
GJSURZIOUXUGAL,Clonidine,756,Drug_A,clonidine
CLOMYZFHNHFSIQ,Clonixin,757,Drug_A,clonixin
LBXHRAWDUMTPSE,Clopamide,758,Drug_A,clopamide
WFPIAZLQTJBIFN,Clopenthixol,759,Drug_A,clopenthixol
GKTWGGQPFAXNFI,Clopidogrel,760,Drug_A,clopidogrel
YTJIBEDMAQUYSZ,Cloprednol,761,Drug_B,cloprednol
VJGGHXVGBSZVMZ,Cloprostenol,762,Drug_A,cloprostenol
XYCMOTOFHFTUIU,Cloranolol,763,Drug_A,cloranolol
XDDJGVMJFWAHJX,Clorazepic acid,764,Drug_A,clorazepic acid
VPMWFZKOWULPGT,Clorexolone,765,Drug_A,clorexolone
BTFHLQRNAMSNLC,Clorgiline,766,Drug_A,clorgiline
GYNNRVJJLAVVTQ,Cloricromen,767,Drug_A,cloricromen
NJDUWAXIURWWLN,Clorindione,768,Drug_A,clorindione
FJAQNRBDVKIIKK,Clorobiocin,769,Drug_A,clorobiocin
QOVTVIYTBRHADL,Clorsulon,770,Drug_A,clorsulon
KCZCIYZKSLLNNH,Clostebol,771,Drug_A,clostebol
KAAZGXDPUNNEFN,Clothiapine,772,Drug_A,clothiapine
CHBRHODLKOZEPZ,Clotiazepam,773,Drug_A,clotiazepam
VNFPBHJOKIVQEB,Clotrimazole,774,Drug_B,clotrimazole
LQOLIRLGBULYKD,Cloxacillin,775,Drug_A,cloxacillin
ZIXNZOBDFKSQTC,Cloxazolam,776,Drug_A,cloxazolam
QZUDBNBUXVUHMW,Clozapine,777,Drug_A,clozapine
ZCIGNRJZKPOIKD,Cobicistat,778,Drug_A,cobicistat
BSMCAPRUBJMWDF,Cobimetinib,779,Drug_A,cobimetinib
ZPUCINDJVBIVPJ,Cocaine,780,Drug_A,cocaine
OROGSEYTTFOCAN,Codeine,781,Drug_A,codeine
IAKHMKGGTNLKSZ,Colchicine,782,Drug_A,colchicine
BSSIRFLGSWHWDE,Colistimethate,783,Drug_A,colistimethate
HVXBOLULGPECHP,Combretastatin A4,784,Drug_A,combretastatin a4
IKENVDNFQMCRTR,Conivaptan,785,Drug_A,conivaptan
PZBCKZWLPGJMAO,Copanlisib,786,Drug_A,copanlisib
RYGMFSIKBFXOCR,Copper,787,Drug_A,copper
OFEZSBMBBKLLBJ,Cordycepin,788,Drug_B,cordycepin
OMFXVFTZEKFJBZ,Corticosterone,789,Drug_A,corticosterone
MFYSYFVPBJMHGN,Cortisone,790,Drug_A,cortisone
ITRJWOMZKQRYTA,Cortisone acetate,791,Drug_A,cortisone acetate
RKHQGWMMUURILY,Cortivazol,792,Drug_A,cortivazol
BXNANOICGRISHX,Coumaphos,793,Drug_A,coumaphos
ZYGHJZDHTFUPRJ,Coumarin,794,Drug_B,coumarin
WTIJXIZOODAMJT,Coumermycin A1,795,Drug_A,coumermycin a1
DYNHJHQFHQTFTP,Crenolanib,796,Drug_A,crenolanib
KTEIFNKAUNYNJU,Crizotinib,797,Drug_A,crizotinib
VFLDPWHFBUODDF,Curcumin,798,Drug_A,curcumin
NEJVQQBBTRFOHB,Curcumin sulfate,799,Drug_A,curcumin sulfate
SLFGIOIONGJGRT,Cyamemazine,800,Drug_A,cyamemazine
RMRCNWBMXRMIRW,Cyanocobalamin,801,Drug_A,cyanocobalamin
HGBLNBBNRORJKI,Cyclacillin,802,Drug_A,cyclacillin
WZHCOOQXZCIUNC,Cyclandelate,803,Drug_A,cyclandelate
IVOMOUWHDPKRLL,Cyclic adenosine monophosphate,804,Drug_A,cyclic adenosine monophosphate
UVKZSORBKUEBAZ,Cyclizine,805,Drug_A,cyclizine
WTYGAUXICFETTC,Cyclobarbital,806,Drug_A,cyclobarbital
JURKNVYFZMSNLP,Cyclobenzaprine,807,Drug_A,cyclobenzaprine
QMNFFXRFOJIOKZ,Cycloguanil,808,Drug_A,cycloguanil
PAFZNILMFXTMIY,Cyclohexylammonium Ion,809,Drug_A,cyclohexylammonium ion
HFXKQSZZZPGLKQ,Cyclopentamine,810,Drug_A,cyclopentamine
BKYKPTRYDKTTJY,Cyclopenthiazide,811,Drug_A,cyclopenthiazide
SKYSRIRYMSLOIN,Cyclopentolate,812,Drug_A,cyclopentolate
CMSMOCZEIVJLDB,Cyclophosphamide,813,Drug_A,cyclophosphamide
LVZWSLJZHVFIQJ,Cyclopropane,814,Drug_A,cyclopropane
DYDCUQKUCUHJBH,Cycloserine,815,Drug_A,cycloserine
PMATZTZNYRCHOR,Cyclosporine,816,Drug_A,cyclosporine
BOCUKUHCLICSIY,Cyclothiazide,817,Drug_A,cyclothiazide
SWRUZBWLEWHWRI,Cycrimine,818,Drug_A,cycrimine
XQCGNURMLWFQJR,Cymarin,819,Drug_A,cymarin
JJCFRYNCJDLXIK,Cyproheptadine,820,Drug_A,cyproheptadine
UWFYSQMTEOIJJG,Cyproterone acetate,821,Drug_A,cyproterone acetate
